fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,August,8,27,2021-08-27,2.98,763.63,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,28,2021-08-28,2.82,730.47,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,29,2021-08-29,2.05,484.19,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,30,2021-08-30,2.88,705.11,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,31,2021-08-31,2.81,737.96,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,1,2021-09-01,3.25,918.71,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,2,2021-09-02,3.17,879.37,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,3,2021-09-03,3.26,870.31,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,4,2021-09-04,3.12,809.51,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,5,2021-09-05,2.53,609.08,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,6,2021-09-06,3.29,851.88,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,7,2021-09-07,3.28,860.11,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,8,2021-09-08,3.32,865.92,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,9,2021-09-09,3.50,902.33,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,10,2021-09-10,3.02,791.62,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,11,2021-09-11,2.88,756.57,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
